model,embedding,task,task_type,rmse_mean,rmse_std,r2_mean,r2_std,f1_mean,f1_std,auc_mean,auc_std
ml-RFR,E_base,density,regression,0.16700113630719565,0.011353921200654763,0.7957899878040057,0.04610199051708786,,,,
ml-RFR,E_base,creep,regression,501.6897960443146,53.64839665872971,0.5264586932754195,0.1050525602069368,,,,
ml-RFR,E_base,liquidus,regression,22.13942132607632,8.473534458651244,0.7932067238352764,0.12979714393134575,,,,
ml-RFR,E_base,size,regression,53.60795158403844,20.628708137167838,0.875901927140276,0.08276911629752187,,,,
ml-RFR,E_base,solidus,regression,30.554197723833454,8.865953378927596,0.7938620621239274,0.09637869301054705,,,,
ml-RFR,E_base,solvus,regression,35.95944614583823,3.3545453998508554,0.8394830691854216,0.03729857828231205,,,,
ml-RFR,E_pa,density,regression,0.16029962439471396,0.024752029427259098,0.8029134734541674,0.08818596623568416,,,,
ml-RFR,E_pa,creep,regression,499.22447853007117,45.56086616082312,0.5299921274009751,0.1030446243097093,,,,
ml-RFR,E_pa,liquidus,regression,20.689269666475752,6.886306359274775,0.8210086073667426,0.10280643550936652,,,,
ml-RFR,E_pa,size,regression,54.0371841610448,20.225140667171555,0.8750077503099257,0.08065264468341944,,,,
ml-RFR,E_pa,solidus,regression,29.748332167636818,6.807868603128621,0.809509716116855,0.06228704783084633,,,,
ml-RFR,E_pa,solvus,regression,32.205984724560594,5.078724668689765,0.8714942630454632,0.03581013019136757,,,,
ml-Ridge,E_base,density,regression,0.2266015947953975,0.03331833661816763,0.6314653873443603,0.0747100125348557,,,,
ml-Ridge,E_base,creep,regression,685.3309631235129,90.88978069177115,0.12935848236083985,0.17437004098730025,,,,
ml-Ridge,E_base,liquidus,regression,23.502079569231295,4.435630802804328,0.7792129755020142,0.06838072620741514,,,,
ml-Ridge,E_base,size,regression,95.04869350109708,13.829986261182848,0.6415363669395446,0.08380465006303044,,,,
ml-Ridge,E_base,solidus,regression,32.820745724666494,9.347391257402968,0.7607120990753173,0.10675127665867587,,,,
ml-Ridge,E_base,solvus,regression,47.37021002952024,5.177057316880452,0.7257630944252014,0.0426263121882595,,,,
ml-Ridge,E_pa,density,regression,0.22816648241704654,0.03984180679166234,0.6255183696746827,0.09635756516586469,,,,
ml-Ridge,E_pa,creep,regression,685.3450148894747,90.89127057174254,0.12930583953857422,0.1744710648948681,,,,
ml-Ridge,E_pa,liquidus,regression,23.57478168693939,4.995360318533114,0.778247058391571,0.07290784276790259,,,,
ml-Ridge,E_pa,size,regression,95.005205628027,13.810328069557459,0.6416289567947387,0.08451765984106104,,,,
